param A := 20;
param N := 7;
param T :=150;
set J[1] := 1, 2;
set J[2] := 1, 2, 3;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;

param: d :=
1	146
2	106
3	108
4	62
5	69
6	92
7	91
8	128
9	134
10	136
11	90
12	119
13	106
14	95
15	122
16	141
17	108
18	144
19	106
20	98;
param E:
	1	2	3	4	5	6	7 :=
1	8	13	10	11	6	4	8
2	10	2	15	12	5	11	11
3	4	8	14	10	15	9	9
4	11	6	5	5	13	6	7
5	3	1	3	2	14	1	8
6	7	4	5	6	8	5	6
7	12	4	5	11	5	8	13
8	2	10	1	15	1	6	6
9	12	12	6	4	9	5	13
10	11	15	8	1	10	3	13
11	2	12	8	2	7	8	10
12	2	14	6	4	12	4	8
13	14	14	6	3	6	1	15
14	1	4	10	9	6	8	11
15	3	9	8	15	14	9	2
16	3	9	9	13	8	9	13
17	7	12	3	9	14	14	1
18	3	1	2	7	6	12	11
19	11	3	11	9	9	5	9
20	14	1	1	9	12	13	10;




