param A := 10;
param N := 7;
param T :=200;
set J[1] := 1, 2;
set J[2] := 1, 2, 3;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;

param: d :=
1	167
2	99
3	193
4	151
5	154
6	107
7	98
8	105
9	93
10	162
;
param E:
	1	2	3	4	5	6	7 :=
1	15	3	3	5	14	16	16
2	19	2	19	18	2	15	12
3	15	8	20	15	9	1	7
4	5	13	8	11	9	18	9
5	12	15	13	10	1	8	1
6	7	14	8	12	8	16	11
7	16	3	19	7	2	11	11
8	20	8	7	13	4	5	7
9	2	4	20	13	18	4	6
10	20	16	7	12	17	15	9;




