param A := 20;
param N := 5;
param T :=200;
set J[1] := 1, 2, 3;
set J[2] := 1, 2, 3, 4;
set J[3] := 1, 2, 3, 4, 5;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;

param: d :=
1	199
2	108
3	158
4	199
5	183
6	130
7	66
8	100
9	89
10	148
11	93
12	149
13	166
14	156
15	146
16	178
17	77
18	123
19	86
20	132;
param E:
	1	2	3	4	5 :=
1	17	1	15	13	8
2	18	4	15	6	2
3	9	20	2	7	3
4	18	10	2	8	15
5	19	20	6	18	2
6	14	18	6	10	18
7	7	6	9	1	7
8	7	18	13	18	15
9	3	12	18	18	12
10	13	19	5	7	1
11	14	20	1	7	18
12	2	13	19	10	5
13	2	6	19	5	1
14	18	17	9	10	4
15	8	13	3	8	12
16	13	7	2	7	19
17	18	10	4	19	16
18	7	19	10	8	6
19	6	4	7	18	19
20	1	2	1	15	19;




