param A := 10;
param N := 7;
param T :=150;
set J[1] := 1, 2;
set J[2] := 1, 2, 3;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;

param: d :=
1	112
2	133
3	129
4	96
5	87
6	142
7	143
8	50
9	71
10	125;

param E:
	1	2	3	4	5	6	7 :=
1	15	12	9	6	11	2	10
2	9	7	6	6	9	6	9
3	12	6	12	13	13	1	8
4	9	14	11	12	15	14	6
5	7	13	9	14	15	1	6
6	10	6	11	8	10	9	1
7	11	9	3	13	3	11	9
8	14	1	2	15	2	2	6
9	7	9	6	13	1	7	9
10	4	13	8	2	6	10	13
;




