param A := 10;
param N := 10;
param T :=150;
set J[1] := 1, 2, 3;
set J[2] := 1, 2, 3, 4;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;
set J[8] := 1, 2, 3;
set J[9] := 1, 2, 3;
set J[10] := 1, 2, 3;

param: d :=
1	92
2	96
3	135
4	136
5	140
6	145
7	87
8	73
9	132
10	105;
param E:
	1	2	3	4	5	6	7	8	9	10 :=
1	4	9	11	14	14	6	1	2	8	3
2	7	12	13	9	11	1	9	12	4	15
3	13	6	10	11	13	12	8	7	1	5
4	14	10	5	5	6	15	11	8	7	9
5	6	8	5	14	6	7	15	12	6	4
6	9	5	3	12	1	15	5	4	11	13
7	8	6	9	1	5	10	5	3	12	1
8	4	6	9	12	10	1	9	5	10	7
9	6	11	12	3	1	14	14	9	11	15
10	6	1	5	12	2	13	4	15	13	12;


