param A := 20;
param N := 10;
param T :=200;
set J[1] := 1, 2, 3;
set J[2] := 1, 2, 3, 4;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;
set J[8] := 1, 2, 3;
set J[9] := 1, 2, 3;
set J[10] := 1, 2, 3;

param: d :=
1	172
2	177
3	170
4	59
5	91
6	142
7	108
8	131
9	28
10	154
11	196
12	59
13	61
14	172
15	136
16	48
17	143
18	89
19	140
20	164;
param E:
	1	2	3	4	5	6	7	8	9	10 :=
1	5	12	2	10	12	10	12	12	1	9
2	2	10	6	11	6	10	3	3	9	8
3	9	1	6	12	3	3	4	11	4	9
4	2	2	11	10	10	5	11	7	5	3
5	10	9	10	11	4	1	6	5	3	5
6	2	4	6	5	12	4	9	10	5	4
7	1	7	11	11	1	8	2	3	3	11
8	11	7	11	10	1	2	4	11	4	10
9	1	8	6	15	12	12	10	9	12	8
10	12	11	8	10	9	7	6	1	10	12
11	1	7	12	9	2	5	4	5	7	11
12	9	10	9	8	2	2	2	14	10	4
13	10	4	1	12	4	1	10	12	3	3
14	1	10	3	2	9	9	12	6	2	1
15	4	3	10	6	3	12	6	11	8	4
16	11	12	6	10	4	2	5	6	5	5
17	7	13	1	11	10	10	4	5	8	2
18	4	12	12	11	6	12	8	3	10	10
19	5	5	12	6	8	5	5	10	1	10
20	5	11	4	3	6	4	1	3	5	12;
