param A := 20;
param N := 7;
param T :=200;
set J[1] := 1, 2;
set J[2] := 1, 2, 3;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;

param: d :=
1	178
2	153
3	66
4	108
5	166
6	148
7	180
8	86
9	148
10	193
11	122
12	163
13	189
14	95
15	147
16	83
17	92
18	148
19	145
20	173;
param E:
	1	2	3	4	5	6	7:=
1	8	14	8	1	9	7	5
2	5	12	2	3	11	9	4
3	3	10	11	4	7	5	1
4	2	6	7	19	15	4	4
5	11	20	2	8	9	9	6
6	6	1	19	2	4	11	15
7	19	5	11	20	8	5	13
8	4	8	4	11	19	4	7
9	15	14	5	12	1	3	11
10	3	20	10	10	15	14	10
11	12	11	2	20	11	17	11
12	1	14	15	19	8	9	6
13	6	4	8	4	8	12	7
14	2	5	18	20	16	3	5
15	11	18	19	2	4	12	16
16	6	6	14	4	16	13	2
17	7	14	1	20	4	6	11
18	4	17	6	18	18	18	19
19	4	15	14	6	4	5	19
20	3	7	7	9	3	9	4;




