param A := 20;
param N := 10;
param T :=200;
set J[1] := 1, 2, 3;
set J[2] := 1, 2, 3, 4;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;
set J[8] := 1, 2, 3;
set J[9] := 1, 2, 3;
set J[10] := 1, 2, 3;

param: d :=
1	148
2	195
3	142
4	178
5	189
6	178
7	140
8	185
9	186
10	151
11	155
12	171
13	161
14	180
15	147
16	195
17	165
18	190
19	185
20	146;
param E:
	1	2	3	4	5	6	7	8	9	10:=
1	1	6	20	8	19	7	9	9	17	9
2	10	15	19	5	4	6	16	18	8	1
3	2	6	2	20	1	16	5	3	14	16
4	9	18	17	20	17	18	8	16	5	1
5	14	8	9	9	7	4	6	15	9	2
6	5	7	15	2	9	2	16	8	19	13
7	1	9	14	1	13	18	10	15	1	1
8	18	12	2	2	19	19	6	5	4	9
9	5	6	2	8	14	15	8	18	19	18
10	1	7	19	7	13	18	6	5	10	8
11	8	4	16	7	1	8	4	12	1	11
12	6	2	9	18	14	1	9	17	3	15
13	8	18	2	17	18	7	11	5	11	6
14	9	9	5	15	8	20	3	2	16	9
15	4	18	16	19	4	6	12	14	8	18
16	1	16	10	15	4	6	19	16	16	18
17	10	20	18	17	1	1	8	8	2	1
18	2	11	14	6	12	13	3	6	7	15
19	10	2	17	12	14	11	1	20	7	6
20	6	1	1	15	12	18	7	16	18	8;
